skill_id,district_id,sector,period,current_demand_count,anticipated_demand_count,demand_score,strength_tier,sample_size,recent_growth,source
SKILL_0400,Mumbai City,IT/Software - Data & AI,2025-09,53,0,0.129,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0166,Mumbai City,IT/Software - Data & AI,2025-09,49,0,0.1192,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0181,Mumbai City,IT/Software - Data & AI,2025-09,38,0,0.0925,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0363,Mumbai City,IT/Software - Data & AI,2025-09,31,0,0.0754,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0279,Mumbai City,IT/Software - Data & AI,2025-09,27,0,0.0657,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0177,Mumbai City,IT/Software - Data & AI,2025-09,23,0,0.056,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0441,Mumbai City,IT/Software - Data & AI,2025-09,23,0,0.056,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0391,Mumbai City,IT/Software - Data & AI,2025-09,20,0,0.0487,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0178,Mumbai City,IT/Software - Data & AI,2025-09,19,0,0.0462,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0144,Mumbai City,IT/Software - Data & AI,2025-09,18,0,0.0438,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0615,Mumbai City,IT/Software - Data & AI,2025-09,18,0,0.0438,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0111,Mumbai City,IT/Software - Data & AI,2025-09,15,0,0.0365,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0564,Mumbai City,IT/Software - Data & AI,2025-09,14,0,0.0341,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0274,Mumbai City,IT/Software - Data & AI,2025-09,12,0,0.0292,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0153,Mumbai City,IT/Software - Data & AI,2025-09,11,0,0.0268,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0442,Mumbai City,IT/Software - Data & AI,2025-09,9,0,0.0219,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0511,Mumbai City,IT/Software - Data & AI,2025-09,9,0,0.0219,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0132,Mumbai City,IT/Software - Data & AI,2025-09,8,0,0.0195,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0155,Mumbai City,IT/Software - Data & AI,2025-09,8,0,0.0195,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0172,Mumbai City,IT/Software - Data & AI,2025-09,8,0,0.0195,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0262,Mumbai City,IT/Software - Data & AI,2025-09,8,0,0.0195,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0629,Mumbai City,IT/Software - Data & AI,2025-09,7,0,0.017,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0128,Mumbai City,IT/Software - Data & AI,2025-09,6,0,0.0146,HIGH,411,,naukri:indian-job-market-dataset-2025
