alias,skill_id,confidence
SAS algorithms,SKILL_0147,1.0
SAS coding,SKILL_0147,1.0
SAS principles for software development,SKILL_0147,1.0
SAS programming language,SKILL_0147,1.0
SAS techniques for software development,SKILL_0147,1.0
SAS testing,SKILL_0147,1.0
SPARQL Protocol and RDF Query Language,SKILL_0148,1.0
Informix 4GL/SQL,SKILL_0149,1.0
SEQUEL,SKILL_0149,1.0
Subquery,SKILL_0149,1.0
Smalltalk,SKILL_0150,1.0
Smalltalk programming system,SKILL_0150,1.0
Teradata,SKILL_0151,1.0
Teradata Integrated Data Warehouse,SKILL_0151,1.0
TypeScript programming language,SKILL_0152,1.0
.NET,SKILL_0153,1.0
VB,SKILL_0153,1.0
VB.NET,SKILL_0153,1.0
Visual Studio,SKILL_0153,1.0
Visual Studio .NET,SKILL_0153,1.0
XQuery language,SKILL_0154,1.0
algorithm,SKILL_0155,1.0
algorithmic,SKILL_0155,1.0
formulae,SKILL_0155,1.0
formulas,SKILL_0155,1.0
analysing big data,SKILL_0156,1.0
analyze big data,SKILL_0156,1.0
big data analysing,SKILL_0156,1.0
big data analysis,SKILL_0156,1.0
investigate big data,SKILL_0156,1.0
scrutinise big data,SKILL_0156,1.0
